5,=EVEN(A29*1000*$B$14/$B$16),=B29*$B$16*$B$5,24800,=B29*$B$6,=A29*$B$7,=A29*$B$8,=$B$9,=(C29+D29+E29+F29+G29)*$B$10,=SUM(C29:I29),=J29/(1-$B$11),=K29*$B$12,=K29+L29,=K29-J29,=(K29-J29)/K29
10,=EVEN(A30*1000*$B$14/$B$16),=B30*$B$16*$B$5,65000,=B30*$B$6,=A30*$B$7,=A30*$B$8,=$B$9,=(C30+D30+E30+F30+G30)*$B$10,=SUM(C30:I30),=J30/(1-$B$11),=K30*$B$12,=K30+L30,=K30-J30,=(K30-J30)/K30
15,=EVEN(A31*1000*$B$14/$B$16),=B31*$B$16*$B$5,65000,=B31*$B$6,=A31*$B$7,=A31*$B$8,=$B$9,=(C31+D31+E31+F31+G31)*$B$10,=SUM(C31:I31),=J31/(1-$B$11),=K31*$B$12,=K31+L31,=K31-J31,=(K31-J31)/K31
20,=EVEN(A32*1000*$B$14/$B$16),=B32*$B$16*$B$5,66000,=B32*$B$6,=A32*$B$7,=A32*$B$8,=$B$9,=(C32+D32+E32+F32+G32)*$B$10,=SUM(C32:I32),=J32/(1-$B$11),=K32*$B$12,=K32+L32,=K32-J32,=(K32-J32)/K32
,,,,,,,,,,,,,,
=== HYBRID (มีแบต · เผื่อแผง 50%) ===,,,,,,,,,,,,,,
kW,แผง,ค่าแผง,hybrid inv[กรอก],ค่าแบต[กรอก],ค่าโครง,ค่าสาย,ค่าแรง,คงที่,Contingency,COGS,ราคาก่อนVAT,VAT,ราคารวมVAT,margin%
3,=EVEN(A36*1000*$B$15/$B$16),=B36*$B$16*$B$5,35000,60000,=B36*$B$6,=A36*$B$7,=A36*$B$8,=$B$9,=(C36+D36+E36+F36+G36+H36)*$B$10,=SUM(C36:J36),=K36/(1-$B$11),=L36*$B$12,=L36+M36,=(L36-K36)/L36
5,=EVEN(A37*1000*$B$15/$B$16),=B37*$B$16*$B$5,45000,120000,=B37*$B$6,=A37*$B$7,=A37*$B$8,=$B$9,=(C37+D37+E37+F37+G37+H37)*$B$10,=SUM(C37:J37),=K37/(1-$B$11),=L37*$B$12,=L37+M37,=(L37-K37)/L37
10,=EVEN(A38*1000*$B$15/$B$16),=B38*$B$16*$B$5,85000,120000,=B38*$B$6,=A38*$B$7,=A38*$B$8,=$B$9,=(C38+D38+E38+F38+G38+H38)*$B$10,=SUM(C38:J38),=K38/(1-$B$11),=L38*$B$12,=L38+M38,=(L38-K38)/L38
,,,,,,,,,,,,,,
=== ราคา inverter อ้างอิง (Huawei/Sungrow/Growatt = ประมาณ verify) ===,,,,,,,,,,,,,,
ขนาด,Anern,Huawei,Sungrow,Growatt,TMDA/อื่น,,,,,,,,,
3 kW,5700,18000,,,,,,,,,,,,
5 kW,8900,24800,36000,25600,,,,,,,,,,
6.5 kW,10000,,,,,,,,,,,,,
10 kW,18450,65000,60000,51800,,,,,,,,,,
15 kW,18500,65000,73000,,,,,,,,,,,
20 kW,,66000,84000,,40000,,,,,,,,,
